relpath,n_sessions_reading_it
ECOSYSTEM.md,7
01-company/00-overview.md,6
01-company/02-voice/10-identity.md,6
01-company/03-services/03-coalesce-amplified-intelligence.md,6
01-company/06-methodologies/20-moments-framework.md,5
01-company/02-voice/40-methodologies.md,5
01-company/06-methodologies/10-forces-framework.md,4
README.md,4
PURPOSE.md,4
02-products/02-foundational/cli-copilot/00-overview.md,4
01-company/02-voice/50-glossary.md,4
01-company/02-voice/20-principles.md,3
01-company/02-voice/25-ai-principles.md,3
docs/00-knowledge-copilot/02-consumption-contract.md,3
01-company/06-methodologies/00-index.md,3
01-company/03-services/00-overview.md,3
03-ai-enabling/03-operations/05-documentation-guide.md,3
01-company/03-services/01-coalesce-experience-design.md,3
01-company/07-reference/10-service-tiers.md,3
01-company/02-voice/30-philosophy.md,2
02-products/00-ecosystem/00-overview.md,2
01-company/01-brand/04-assets/aviators.svg,2
02-products/02-foundational/claude-copilot/00-overview.md,2
00-best-practices/04-knowledge-vs-capability-boundary.md,2
config/mcp-credentials.md,2
04-shared-systems/00-systems-map.md,2
00-best-practices/03-templates/07-initiative-package/initiative/README.md,2
.claude/commands/knowledge-copilot.md,2
00-best-practices/03-templates/07-initiative-package/README.md,2
.mcp.json,2
01-company/04-gtm/01-gtm-plan.md,2
01-company/04-gtm/00-overview.md,2
01-company/03-services/04-colab.md,2
01-company/03-services/02-coalesce-org-design.md,2
01-company/03-services/05-cocreate.md,2
02-products/00-ecosystem/04-growth-loop.md,2
02-products/02-work/voice-copilot/00-overview.md,2
02-products/01-foundational/cli-copilot/00-overview.md,2
02-products/02-work/n8n-copilot/00-overview.md,2
02-products/02-work/project-copilot/00-overview.md,2
02-products/02-work/the-collective/00-overview.md,2
02-products/03-applications/transformations/00-overview.md,2
02-products/03-applications/forces-assessment/00-overview.md,2
02-products/03-applications/research-copilot/70-decisions.md,2
01-company/04-gtm/02-connector-program.md,2
02-products/01-foundational/codex-copilot/00-overview.md,2
02-products/03-applications/insights-copilot/70-decisions.md,2
02-products/03-applications/insights-copilot/00-overview.md,2
02-products/03-applications/forces-assessment/70-decisions.md,2
02-products/03-applications/research-copilot/00-overview.md,2
02-products/01-foundational/claude-copilot/00-overview.md,2
02-products/02-work/everyone-needs-knowledge-management/00-overview.md,2
STRUCTURE.md,2
02-products/99-innovation-roadmap/02-conversations-copilot/00-conversations-copilot-vision.md,1
02-products/99-innovation-roadmap/02-conversations-copilot/02-comprehensive-vision.md,1
01-company/03-services/05-fractional-copilot.md,1
02-products/02-foundational/product-creation-copilot/00-overview.md,1
02-products/02-foundational/codex-copilot/00-overview.md,1
04-shared-systems/02-infisical-rollout-handoff.md,1
04-shared-systems/01-secrets-rotation-worklist.md,1
_archive/2024-12-claude-copilot-migration/04-mcp-servers/skills-hub/README.md,1
00-best-practices/03-templates/07-initiative-package/initiative/phases/phase-1-plan.md,1
00-best-practices/03-templates/07-initiative-package/exemplars/retrospectives/README.md,1
00-best-practices/03-templates/07-initiative-package/bin/gen-initiatives-index.sh,1
00-best-practices/03-templates/07-initiative-package/bin/lib-initiatives.sh,1
00-best-practices/03-templates/07-initiative-package/initiative/decisions/ADR-001-template.md,1
00-best-practices/03-templates/07-initiative-package/bin/check-initiatives.sh,1
00-best-practices/03-templates/07-initiative-package/initiative/retrospectives/README.md,1
00-best-practices/03-templates/07-initiative-package/exemplars/phases/phase-1-plan.md,1
00-best-practices/03-templates/07-initiative-package/bin/install-initiatives-hook.sh,1
00-best-practices/03-templates/07-initiative-package/exemplars/decisions/ADR-001-template.md,1
.claude/extensions/cw.extension.md,1
docs/00-knowledge-copilot/03-migration-guide.md,1
.codex-copilot.json,1
01-company/01-brand/01-brand-colors.md,1
03-ai-enabling/02-profiles/01-strategic/04-chief-ai-officer.md,1
.claude/extensions/sd.override.md,1
01-company/03-ai-enabling/02-profiles/01-strategic/04-chief-ai-officer.md,1
01-company/02-voice/01-identity.md,1
01-company/02-voice/08-manifesto.md,1
01-company/02-voice/06-glossary.md,1
02-products/03-applications/transformations/10-architecture.md,1
02-products/03-applications/transformations/70-decisions.md,1
.gitmodules,1
docs/00-knowledge-copilot/01-build-a-kms.md,1
.claude/agents/kc.md,1
SKILL.md,1
docs/knowledge-copilot-integration-plan.md,1
02-products/03-applications/method-copilot/00-overview.md,1
02-products/00-ecosystem/08-heartbeat-audit-2026-03-30.md,1
00-best-practices/03-templates/01-tech-docs-template.md,1
